passed,year,adult,popularity,runtime,title.1,vote_average,vote_count
0,1995,FALSE,16.302466,106,The Usual Suspects,8.1,3334
1,2013,FALSE,1.807794,90,The Open Road,4.8,19
0,2010,FALSE,6.324751,109,The Killer Inside Me,6,175
0,2009,FALSE,1.847803,96,The Wild Hunt,6.2,20
0,2009,FALSE,5.081422,99,TiMER,5.9,91
1,2010,FALSE,34.047399,124,The Twilight Saga: Eclipse,5.9,2382
1,2009,FALSE,0.370737,86,Hannah Free,6,2
0,2009,FALSE,8.378149,161,Enter the Void,7.2,397
0,2009,FALSE,3.877603,101,The Cry of the Owl,5.5,29
0,2010,FALSE,9.544657,103,The Last Airbender,4.7,1180
1,2015,FALSE,0.4721,90,The Intern,2.4,4
0,2010,FALSE,9.034929,107,Predators,6,1231
1,2007,FALSE,1.338785,89,Far North,6,20
1,2010,FALSE,22.274502,95,Despicable Me,7.1,6595
1,2010,FALSE,29.108149,148,Inception,8.1,14075
1,2010,FALSE,23.981251,102,Grown Ups,6,1746
0,2010,FALSE,12.758942,109,Knight and Day,5.9,1583
1,2009,FALSE,7.588652,99,The Greatest,6.2,36
1,1996,FALSE,0.483201,176,The Phantom,4.6,11
1,2010,FALSE,11.690781,140,The Karate Kid,6.2,1675
1,2009,FALSE,6.269507,90,The Good Guy,5.4,60
1,2010,FALSE,5.899155,106,The Kids Are All Right,6.5,512
1,2015,FALSE,1.605963,98,Home,7.2,27
0,2009,FALSE,1.991189,86,Cherrybomb,6,43
0,2010,FALSE,7.039325,75,Batman: Under the Red Hood,7.6,459
1,2010,FALSE,8.704455,100,Salt,6.2,2125
0,2009,FALSE,11.817059,156,Mr. Nobody,7.9,1616
0,2010,FALSE,11.623718,114,Dinner for Schmucks,5.5,542
1,2010,FALSE,8.983275,109,Nanny McPhee and the Big Bang,6,450
1,2014,FALSE,4.876494,86,The Town That Dreaded Sundown,6.1,48
1,2010,FALSE,7.467591,103,Ramona and Beezus,6.2,249
0,2010,FALSE,6.273131,99,Charlie St. Cloud,6.8,589
0,2010,FALSE,12.536621,107,The Other Guys,6.1,1406
1,2010,FALSE,8.534211,82,Operation: Endgame,5.1,63
0,2010,FALSE,14.75562,103,The Expendables,6,2977
1,2010,FALSE,13.793301,112,Scott Pilgrim vs. the World,7.2,2185
0,2010,FALSE,9.649312,113,Animal Kingdom,6.7,240
0,2010,FALSE,13.00941,97,Centurion,6,394
1,2009,FALSE,3.311392,97,Life During Wartime,6.3,30
0,2010,FALSE,9.662564,96,The Experiment,6.4,304
1,2007,FALSE,7.930423,90,Black Water,5.9,67
0,2009,FALSE,3.977054,114,Heartless,6.2,68
1,2002,FALSE,0.206599,118,Chicago,4,2
1,2003,FALSE,0.857462,87,Underworld,7.4,8
0,2009,FALSE,4.678848,103,Get Low,6.5,100
1,2009,FALSE,9.62432,92,According to Greta,6,67
1,2009,FALSE,6.632194,96,The Joneses,6.1,212
0,2010,FALSE,12.17886,92,TEKKEN,5.2,185
1,2010,FALSE,6.397109,87,The Last Exorcism,5.6,330
0,2010,FALSE,7.275649,104,The American,5.8,488
0,2010,FALSE,5.695408,101,The Switch,5.9,599
0,2006,FALSE,1.802597,11,Elephants Dream,6,28
1,2010,FALSE,7.120403,105,Machete,6.3,1171
1,2010,FALSE,9.111782,107,Step Up 3D,6.6,595
1,2010,FALSE,6.876053,102,Going the Distance,6,271
1,2006,FALSE,1.529879,93,Offside,6.7,27
